ID,bookid,author_ID,title,genre,publCountry_code,price_amount,price_currency_code,stock,isHardcover,createdAt,createdBy,modifiedAt,modifiedBy
b1a2c3d4-0001-0000-0000-000000000001,BK-0001,a1000001-0000-0000-0000-000000000001,The Great Gatsby,1,US,12.99,USD,150,true,2025-01-01T08:00:00Z,admin@demo.com,2025-01-01T08:00:00Z,admin@demo.com
b1a2c3d4-0002-0000-0000-000000000002,BK-0002,a1000001-0000-0000-0000-000000000002,To Kill a Mockingbird,1,US,14.99,USD,200,false,2025-01-02T08:00:00Z,admin@demo.com,2025-01-02T08:00:00Z,admin@demo.com
b1a2c3d4-0003-0000-0000-000000000003,BK-0003,a1000001-0000-0000-0000-000000000003,1984,1,GB,11.99,GBP,180,true,2025-01-03T08:00:00Z,admin@demo.com,2025-01-03T08:00:00Z,admin@demo.com
b1a2c3d4-0004-0000-0000-000000000004,BK-0004,a1000001-0000-0000-0000-000000000004,Sapiens,2,IL,18.99,USD,120,true,2025-01-04T08:00:00Z,admin@demo.com,2025-01-04T08:00:00Z,admin@demo.com
b1a2c3d4-0005-0000-0000-000000000005,BK-0005,a1000001-0000-0000-0000-000000000005,Brave New World,1,GB,10.99,GBP,90,false,2025-01-05T08:00:00Z,admin@demo.com,2025-01-05T08:00:00Z,admin@demo.com
b1a2c3d4-0006-0000-0000-000000000006,BK-0006,a1000001-0000-0000-0000-000000000006,Thinking Fast and Slow,2,US,16.99,USD,75,true,2025-01-06T08:00:00Z,admin@demo.com,2025-01-06T08:00:00Z,admin@demo.com
b1a2c3d4-0007-0000-0000-000000000007,BK-0007,a1000001-0000-0000-0000-000000000007,The Catcher in the Rye,1,US,13.99,USD,110,false,2025-01-07T08:00:00Z,admin@demo.com,2025-01-07T08:00:00Z,admin@demo.com
b1a2c3d4-0008-0000-0000-000000000008,BK-0008,a1000001-0000-0000-0000-000000000008,A Brief History of Time,2,GB,15.99,GBP,95,true,2025-01-08T08:00:00Z,admin@demo.com,2025-01-08T08:00:00Z,admin@demo.com
b1a2c3d4-0009-0000-0000-000000000009,BK-0009,a1000001-0000-0000-0000-000000000009,The Alchemist,1,BR,9.99,USD,300,false,2025-01-09T08:00:00Z,admin@demo.com,2025-01-09T08:00:00Z,admin@demo.com
b1a2c3d4-0010-0000-0000-000000000010,BK-0010,a1000001-0000-0000-0000-000000000010,Educated,2,US,17.99,USD,85,true,2025-01-10T08:00:00Z,admin@demo.com,2025-01-10T08:00:00Z,admin@demo.com
b1a2c3d4-0011-0000-0000-000000000011,BK-0011,a1000001-0000-0000-0000-000000000011,Fahrenheit 451,1,US,11.50,USD,140,false,2025-01-11T08:00:00Z,admin@demo.com,2025-01-11T08:00:00Z,admin@demo.com
b1a2c3d4-0012-0000-0000-000000000012,BK-0012,a1000001-0000-0000-0000-000000000012,The Lean Startup,2,US,19.99,USD,60,true,2025-01-12T08:00:00Z,admin@demo.com,2025-01-12T08:00:00Z,admin@demo.com
b1a2c3d4-0013-0000-0000-000000000013,BK-0013,a1000001-0000-0000-0000-000000000013,Lord of the Flies,1,GB,10.50,GBP,165,false,2025-01-13T08:00:00Z,admin@demo.com,2025-01-13T08:00:00Z,admin@demo.com
b1a2c3d4-0014-0000-0000-000000000014,BK-0014,a1000001-0000-0000-0000-000000000014,Atomic Habits,2,US,21.99,USD,400,true,2025-01-14T08:00:00Z,admin@demo.com,2025-01-14T08:00:00Z,admin@demo.com
